Symbol,Datetime,Open,Close,reason,prev_close,gap_pct_raw
FCX,2011-02-02,56.86,56.26,r2_split_like,114.07,-50.153414570000876
FELE,2013-03-19,33.92,33.46,r2_split_like,67.45,-49.710896960711636
FHTX,2021-12-13,18.11,18.58,r2_split_like,11.99,51.042535446205164
FOMC,2022-06-28,0.06,0.05,r2_split_like,0.04,49.999999999999986
FOMC,2022-11-07,0.03,0.04,r2_split_like,0.045,-33.33333333333333
FOMC,2023-01-20,0.02,0.02,r2_split_like,0.03,-33.33333333333333
FOMC,2023-01-24,0.03,0.03,r2_split_like,0.02,49.999999999999986
FOMC,2023-01-25,0.01,0.03,r2_split_like,0.03,-66.66666666666666
FOMC,2023-01-27,0.02,0.02,r2_split_like,0.03,-33.33333333333333
FOMC,2023-02-03,0.03,0.03,r2_split_like,0.02,49.999999999999986
FOMC,2023-02-07,0.02,0.03,r2_split_like,0.03,-33.33333333333333
FOMC,2023-02-21,0.02,0.02,r2_split_like,0.03,-33.33333333333333
FOMC,2023-05-12,0.02,0.04,r2_split_like,0.04,-50.0
FOMC,2023-05-15,0.02,0.03,r2_split_like,0.04,-50.0
FOMC,2023-05-18,0.02,0.03,r2_split_like,0.04,-50.0
FOMC,2023-05-24,0.03,0.03,r2_split_like,0.02,49.999999999999986
FOMC,2023-06-05,0.03,0.02,r2_split_like,0.02,49.999999999999986
FOMC,2023-06-08,0.03,0.025,r2_split_like,0.02,49.999999999999986
FOMC,2023-06-13,0.03,0.04,r2_split_like,0.02,49.999999999999986
FOMC,2023-06-27,0.03,0.02,r2_split_like,0.02,49.999999999999986
FOMC,2023-06-28,0.03,0.02,r2_split_like,0.02,49.999999999999986
FOMC,2023-07-05,0.02,0.02,r2_split_like,0.03,-33.33333333333333
FOMC,2023-07-06,0.03,0.03,r2_split_like,0.02,49.999999999999986
FOMC,2023-07-07,0.02,0.03,r2_split_like,0.03,-33.33333333333333
FOMC,2023-07-10,0.02,0.03,r2_split_like,0.03,-33.33333333333333
FOMC,2023-07-12,0.02,0.03,r2_split_like,0.03,-33.33333333333333
FOMC,2023-07-13,0.02,0.025,r2_split_like,0.03,-33.33333333333333
FOMC,2023-07-19,0.03,0.02,r2_split_like,0.02,49.999999999999986
FOMC,2023-07-27,0.02,0.03,r2_split_like,0.03,-33.33333333333333
FOMC,2023-08-01,0.03,0.02,r2_split_like,0.02,49.999999999999986
FOMC,2023-08-02,0.03,0.03,r2_split_like,0.02,49.999999999999986
FOMC,2023-08-08,0.03,0.02,r2_split_like,0.02,49.999999999999986
FOMC,2023-08-24,0.02,0.02,r2_split_like,0.03,-33.33333333333333
FOMC,2023-09-18,0.01,0.01,r2_split_like,0.02,-50.0
FOMC,2023-09-22,0.02,0.02,r2_split_like,0.01,100.0
FOMC,2023-09-26,0.02,0.02,r2_split_like,0.01,100.0
FOMC,2023-09-28,0.02,0.02,r2_split_like,0.01,100.0
FOMC,2023-10-11,0.01,0.01,r2_split_like,0.015,-33.33333333333333
FOMC,2023-10-13,0.01,0.02,r2_split_like,0.02,-50.0
FOMC,2023-10-17,0.01,0.02,r2_split_like,0.015,-33.33333333333333
FOMC,2023-10-18,0.01,0.01,r2_split_like,0.02,-50.0
FOMC,2023-10-19,0.02,0.02,r2_split_like,0.01,100.0
FOMC,2023-10-20,0.01,0.02,r2_split_like,0.02,-50.0
FOMC,2023-10-24,0.01,0.02,r2_split_like,0.02,-50.0
FOMC,2023-10-25,0.01,0.01,r2_split_like,0.02,-50.0
FOMC,2023-11-09,0.02,0.01,r2_split_like,0.01,100.0
FOMC,2023-11-13,0.01,0.01,r2_split_like,0.02,-50.0
FOMC,2023-11-15,0.01,0.02,r2_split_like,0.02,-50.0
FOMC,2023-11-16,0.01,0.02,r2_split_like,0.02,-50.0
FOMC,2023-11-17,0.01,0.01,r2_split_like,0.02,-50.0
FOMC,2023-11-20,0.02,0.02,r2_split_like,0.01,100.0
FOMC,2023-11-24,0.02,0.01,r2_split_like,0.01,100.0
FOMC,2023-12-01,0.02,0.01,r2_split_like,0.01,100.0
FOMC,2023-12-11,0.02,0.01,r2_split_like,0.01,100.0
FOMC,2023-12-14,0.01,0.01,r2_split_like,0.02,-50.0
FOMC,2023-12-18,0.01,0.01,r2_split_like,0.02,-50.0
FOMC,2023-12-21,0.01,0.02,r2_split_like,0.02,-50.0
FOMC,2023-12-22,0.01,0.02,r2_split_like,0.02,-50.0
FOMC,2024-01-03,0.01,0.01,r2_split_like,0.02,-50.0
FOMC,2024-01-12,0.01,0.01,r2_split_like,0.02,-50.0
FOMC,2024-01-23,0.01,0.01,r2_split_like,0.02,-50.0
FOMC,2024-01-25,0.01,0.01,r2_split_like,0.015,-33.33333333333333
FOMC,2024-01-31,0.01,0.01,r2_split_like,0.015,-33.33333333333333
FOMC,2024-02-01,0.02,0.01,r2_split_like,0.01,100.0
FOMC,2024-02-05,0.01,0.02,r2_split_like,0.02,-50.0
FTNT,2011-06-02,25.16,23.51,r2_split_like,49.7,-49.376257545271635
GGG,2017-12-28,44.95,45.63,r2_split_like,135.5001,-66.82659274790203
GILD,2013-01-28,40.06,39.44,r2_split_like,79.36,-49.521169354838705
GME,2021-01-29,379.71,325.0,r2_split_like,193.6,96.13119834710744
HAE,2012-12-03,40.29,41.38,r2_split_like,81.03,-50.277674935209184
HLIO,2011-07-18,32.51,31.54,r2_split_like,48.8201,-33.408575566211454
HROW,2011-02-01,0.4,0.4,r2_split_like,0.61,-34.42622950819671
HROW,2011-02-02,0.61,0.4,r2_split_like,0.4,52.49999999999999
HROW,2011-12-12,0.1,0.2,r2_split_like,0.2,-50.0
HROW,2012-02-24,0.56,0.56,r2_split_like,0.07,700.0
HTFL,2025-08-08,28.0,28.75,r2_split_like,19.0,47.368421052631575
