Symbol,Description,Price,Price - Currency,Pre-market Change %,Price Change % 1 day,Post-market Change %,Market capitalization,Market capitalization - Currency,Price to earnings ratio,Price * Volume (Turnover) 1 day,Price * Volume (Turnover) 1 day - Currency,Price * Volume (Turnover) 1 month,Price * Volume (Turnover) 1 month - Currency,Upcoming earnings date,"Net income growth %, Quarterly QoQ","Revenue growth %, Quarterly QoQ",Industry,Sector
JCI,Johnson Controls International plc,143.79,USD,-0.49053959355290033,0.7638402242466737,0,88008989340,USD,27.049550396929902,664786751.43,USD,11664600105.09,USD,2026-05-01,-69.04902539870054,-10.01241850357032,Industrial machinery,Producer manufacturing
ICE,Intercontinental Exchange Inc.,154.01,USD,,-0.06488871585232803,0.05843776378157484,87461734439,USD,26.688732540810314,519099945.59999996,USD,11965930466.019999,USD,2026-04-30,4.28921568627451,4.489524442966411,Investment banks/Brokers,Finance
MRSH,Marsh,179.32,USD,,0.25157935931122527,0,86813161735.99998,USD,21.286799620132953,693710537.8399999,USD,9022035348.16,USD,2026-04-16,9.906291834002676,3.707194470625196,Insurance brokers/Services,Finance
RACE,Ferrari N.V.,366.95,USD,-1.6371077762619373,0.12278308321964218,0,86755802612.55434,USD,34.89296971500594,222865981.65,USD,5133807369.9,USD,2026-05-05,-0.3387627660174111,2.1225277811773657,Motor vehicles,Consumer durables
ADP,"Automatic Data Processing, Inc.",214.47,USD,-0.32411909061443195,-0.6945409084595082,-0.12589173310953056,86355140383,USD,20.605472502978362,538674862.32,USD,11836977839.55,USD,2026-05-06,4.8371174728529125,3.5573504405626837,Packaged software,Technology services
ECL,Ecolab Inc.,304.16,USD,-0.18604651162790772,1.0498338870431976,0,86148958391,USD,41.795720940458686,405472958.56000006,USD,6221218683.200001,USD,2026-05-05,-3.606837606837607,0.744297719087635,Chemicals: specialty,Process industries
ITW,Illinois Tool Works Inc.,294.98,USD,,0.39479953713158566,0,85013242767,USD,28.116361972663324,434604653.28000003,USD,7720543102.860001,USD,2026-05-05,-3.7758830694275276,0.8376447400837644,Auto parts: OEM,Producer manufacturing
SNPS,"Synopsys, Inc.",439.94,USD,-0.43621734020432307,-0.5650483681403128,0.0022730372323477984,84168532361.00002,USD,54.832116060522964,746754595.9399999,USD,16422951401.2,USD,2026-02-25,85.02241153936555,29.58334507595125,Packaged software,Technology services
EMR,Emerson Electric Company,148.62,USD,0,-1.77131526768011,0.10092854259184879,83569329856,USD,36.29747221883014,466711088.76,USD,10518510351.36,USD,2026-05-06,-5.023547880690738,-10.50463439752832,Electronic equipment/Instruments,Electronic technology
CRH,CRH PLC,124.04,USD,-0.9403139692405711,-1.1554705554227338,0.00806191551111811,82889829031.99998,USD,22.46613055132942,579421974.0400001,USD,8353991170.84,USD,2026-05-13,-31.68449197880171,-14.933598337939852,Construction materials,Non-energy minerals
