Symbol,Description,Price,Price - Currency,Pre-market Change %,Price Change % 1 day,Post-market Change %,Market capitalization,Market capitalization - Currency,Price to earnings ratio,Price * Volume (Turnover) 1 day,Price * Volume (Turnover) 1 day - Currency,Price * Volume (Turnover) 1 month,Price * Volume (Turnover) 1 month - Currency,Upcoming earnings date,"Net income growth %, Quarterly QoQ","Revenue growth %, Quarterly QoQ",Industry,Sector
GM,General Motors Company,81.51,USD,-0.4541549036455193,0.04909782742114429,-0.012268433321071175,73682425094,USD,27.074337341393743,701175266.22,USD,9043986472.95,USD,2026-04-28,-349.2469879518072,-6.8016710913543665,Motor vehicles,Consumer durables
CVNA,Carvana Co.,336.62,USD,-1.3552089906547815,1.1508759277622476,0.11882835244488658,73667672194,USD,34.38828048381824,2475066210.62,USD,25709889408.9,USD,2026-04-30,467.5496688741722,-0.779174783070657,Specialty stores,Retail trade
WBD,"Warner Bros. Discovery, Inc. - Series A",28.75,USD,0.42060988433227287,0.7711181212758459,0.038608695652170434,71296757202,USD,153.25159914712154,571523118.75,USD,9671267728.75,USD,2026-02-26,-109.36708860759494,-7.7416726087399415,Cable/Satellite TV,Consumer services
COR,"Cencora, Inc.",361.08,USD,0,0.5485784300075103,0,70241137281,USD,43.43035843156122,379613514.24,USD,7349360575.32,USD,2026-05-06,,2.6316732998876344,Medical distributors,Distribution services
AEP,"American Electric Power Company, Inc.",129.37,USD,0.358199657374247,0.7397601619685541,0,69971251067,USD,19.425216594843764,390876318.71000004,USD,6778943626.09,USD,2026-05-06,-40.123456790123456,-11.91477291687523,Electric utilities,Utilities
AON,Aon plc,325.07,USD,,0.23743447425222997,0,69647712321,USD,19.09200364138255,411212574.78999996,USD,9048232755.47,USD,2026-04-24,269.65065502183404,7.555666750062547,Insurance brokers/Services,Finance
MRVL,"Marvell Technology, Inc.",79.48,USD,-1.8213792237156172,-0.16329606833311827,0.6290890790135883,69241927212,USD,27.830106096151827,699053941.12,USD,14933009828.640001,USD,2026-03-05,876.0266940451745,3.4096007178106778,Semiconductors,Electronic technology
TEL,TE Connectivity plc,234.73,USD,-0.3872633390705704,1.0025817555937968,0,68877830965,USD,33.85008075680664,302618375.87,USD,8060098883.849999,USD,2026-04-29,13.122171945701359,-1.6845651716150771,Semiconductors,Electronic technology
DB,Deutsche Bank AG,36.72,USD,1.508379888268174,2.569832402234642,0.3540305010893316,68786805125.9826,USD,9.569081055753754,125169446.88,USD,1798650619.2,USD,2026-04-29,-3.7510870805498224,-4.081765043667318,Investment banks/Brokers,Finance
HOOD,"Robinhood Markets, Inc.",76.11,USD,-0.5816259087904982,0.6080634500991324,-0.21574037577190108,68579019747,USD,36.96275071633238,2304842554.95,USD,48052852297.71,USD,2026-05-13,8.81294964028777,0.858034321372855,Investment banks/Brokers,Finance
WPM,Wheaton Precious Metals Corp,150.38,USD,0.7843676895555155,3.467730838034947,0.3923394068360177,68275207264.64089,USD,68.10265231707523,306910090.86,USD,5271978129.04,USD,2026-03-12,22.143582288793155,-7.993501796317299,Precious metals,Non-energy minerals
LHX,"L3Harris Technologies, Inc.",356.14,USD,1.15505993866742,-0.7136883189294682,-0.039310383557024306,66518500106,USD,41.7504865067642,372302701.62,USD,5984980066.62,USD,2026-04-23,-35.064935064935064,-0.19438063262060434,Aerospace & defense,Electronic technology
MDLN,Medline Inc.,49.8,USD,0.1890756302520931,4.62184873949579,-1.6064257028112392,65423118341,USD,31.46124202413292,198739399.79999998,USD,1763907036,USD,2026-02-25,-3.303303303303303,3.3255881498693,Medical specialties,Health technology
APD,"Air Products and Chemicals, Inc.",281.18,USD,0.3163294385864836,0.16386434881731957,0,62606418387,USD,,520462492.92,USD,5853886982.360001,USD,2026-04-30,13740.816326530612,-2.0837279787838607,Chemicals: specialty,Process industries
AZO,"AutoZone, Inc.",3748.52,USD,,0.08089729247709113,0,62104803433,USD,26.139213143104193,496622672.2,USD,6969330851.44,USD,2026-03-03,-36.576573777915314,-25.8556278138749,Specialty stores,Retail trade
NET,"Cloudflare, Inc.",177.14,USD,-0.851328903654478,-8.04609634551495,0.7338828045613703,61966798148,USD,,1170214650.98,USD,16974742877.98,USD,2026-04-30,-836.201550387597,9.337629686829992,Information technology services,Technology services
FTNT,"Fortinet, Inc.",80,USD,-0.648953103954942,-2.0448144973674567,-0.2999999999999936,59491850586,USD,32.96929734185041,536302800,USD,9203016400,USD,2026-04-30,6.773580924245621,10.441184996231666,Information technology services,Technology services
SNOW,Snowflake Inc.,172.5,USD,-0.6584821428571308,-3.7388392857142794,0.26086956521738475,59029502106,USD,,1010437897.5,USD,19144906117.5,USD,2026-02-25,1.3623383900918404,5.933785106845687,Packaged software,Technology services
NXPI,NXP Semiconductors N.V.,232.27,USD,-1.098617035026501,0.06893283357028848,-0.466870452490643,58692967160,USD,29.22922041150192,492460015.35,USD,11825514197.84,USD,2026-04-27,-27.89223454852454,5.105578316775169,Semiconductors,Electronic technology
VST,Vistra Corp.,171.4,USD,0,-0.6376811594202866,0.2374562427071075,58074688716,USD,61.22740587268701,664998234.2,USD,14561606146.800001,USD,2026-02-26,99.38837920489296,31.87944131340358,Electric utilities,Utilities
