ticker,inst_pct,insider_pct,float_pct
QURE,86.44,1.29,82.21
RAMP,101.57,4.4,93.91
RARE,102.03,3.45,95.96
RBA,113.84,0.24,99.75
RBC,101.22,1.64,90.79
RBLX,82.93,5.48,95.99
RBRK,76.91,2.44,97.79
RCAT,45.89,9.02,73.33
RCKT,89.46,3.1,79.62
RDDT,89.21,0.71,98.33
RDNT,100.65,9.96,84.24
RDW,54.64,1.38,81.89
REGN,94.36,2.03,94.8
REPL,95.39,2.56,71.11
REZI,99.19,1.21,87.75
RGA,103.39,0.23,99.48
RGC,0.14,88.38,11.38
RGEN,120.13,5.24,94.6
RGLD,85.48,0.26,99.64
RGTI,56.48,1.71,98.57
RH,104.93,18.12,73.04
RIGL,93.7,3.39,86.13
RIOT,81.4,7.64,92.23
RIVN,37.12,33.21,57.96
RKLB,60.5,0.83,93.12
RMBS,98.84,0.76,99.25
RNA,89.24,4.27,91.9
RNG,117.87,1.27,97.84
ROCK,107.4,1.0,98.89
ROG,103.62,1.22,92.01
ROKU,87.68,0.63,98.6
ROOT,65.3,5.95,90.22
RR,41.17,1.08,78.11
RRX,107.13,0.5,99.51
RUM,18.99,51.68,41.15
RUN,113.04,2.88,92.21
RVMD,97.53,1.9,91.31
RXRX,68.9,2.37,97.78
RYTM,110.25,0.77,81.16
RZLV,12.33,42.94,47.45
S,84.86,0.67,91.74
SABR,89.26,16.42,66.33
SANM,101.24,5.28,96.79
SATL,60.92,7.87,86.63
SATS,112.19,13.79,86.18
SEDG,106.94,1.19,98.67
SEI,108.61,9.79,90.68
SEM,82.48,15.95,78.53
SERV,44.26,8.69,83.26
SEZL,40.46,52.8,50.69
SIGA,49.89,42.8,57.17
SITM,102.29,12.44,65.07
SKYT,61.23,25.56,73.07
SLAB,94.02,1.65,98.11
SLNO,,,
SLS,27.77,0.95,94.23
SMCI,64.17,12.87,78.68
SMMT,15.41,80.89,19.09
SMR,52.0,1.98,98.04
SMTC,108.88,0.93,99.43
SNAP,46.73,22.58,77.46
SNDK,81.68,1.13,98.59
SNEX,87.25,9.22,87.62
SNOW,76.69,2.9,97.24
SNX,95.51,4.95,92.13
SONO,104.76,1.78,82.93
SOUN,44.58,1.12,97.54
SPB,117.67,4.49,87.4
SPOT,68.67,23.45,76.42
SPXC,99.17,3.11,97.68
SRPT,99.59,4.22,89.61
SRRK,117.19,0.78,76.62
SRTA,69.95,13.8,66.29
SSTK,63.76,31.33,68.34
