month,ticker,window_start,window_end,z_win,ret_2w_pct,mcap_at_start,turnover_min,turnover_median,turnover_thresh,sigma_d_pct,end_vs_high,up_day_ratio,max_day_contrib,run_days,sector,industry,mcap_bucket,market_cap_now,inst_pct,float_pct
2025-11,HAE,2025-11-06,2025-11-19,6.887,48.245,3118692347.0,62982603.0,90808156.0,21031184.0,1.808,0.992,0.9,0.711,4,Healthcare,Medical - Instruments & Supplies,1B-10B,2427663362.0,110.24,98.7
2025-11,PACS,2025-11-17,2025-12-01,5.824,216.824,2467490885.0,26828230.0,97406521.0,21031184.0,6.262,0.955,0.9,0.382,1,Financial Services,Financial - Conglomerates,1B-10B,5013564283.0,30.81,30.19
2025-11,OLMA,2025-11-18,2025-12-02,5.66,218.662,1755341120.0,31129344.0,118241823.0,21031184.0,6.475,0.92,0.7,0.742,1,Healthcare,Biotechnology,1B-10B,1295152386.0,119.24,73.48
2025-11,GMED,2025-11-06,2025-11-19,5.483,36.271,8334257242.0,101753380.0,177972437.0,21031184.0,1.785,0.962,0.5,0.992,10,Healthcare,Medical - Devices,1B-10B,10356033793.0,102.01,98.58
2025-11,APPN,2025-11-05,2025-11-18,5.148,46.09,2181086566.0,21639674.0,52133016.0,21031184.0,2.328,0.917,0.8,0.708,2,Technology,Software - Infrastructure,1B-10B,1526686233.0,97.45,84.35
2025-11,INSP,2025-11-20,2025-12-04,4.855,67.841,2399271102.0,63312249.0,192004023.0,21031184.0,3.373,0.982,0.7,0.514,5,Healthcare,Medical - Devices,1B-10B,1249050105.0,123.02,88.38
2025-11,AMTM,2025-11-18,2025-12-02,4.48,33.644,5315347403.0,35736145.0,76959652.0,21031184.0,2.047,0.901,0.5,0.578,2,Industrials,Aerospace & Defense,1B-10B,5839808023.0,107.23,62.35
2025-11,ARWR,2025-11-24,2025-12-08,4.34,69.592,6234331467.0,133894890.0,192427838.0,21031184.0,3.849,0.959,0.7,0.397,1,Healthcare,Biotechnology,1B-10B,10950224317.0,89.02,87.16
2025-11,MDB,2025-11-24,2025-12-08,4.177,30.366,26572575199.0,398719361.0,898715778.0,21031184.0,2.008,0.986,0.7,0.757,1,Technology,Software - Infrastructure,10B-100B,23680879782.0,94.15,97.38
2025-11,TDC,2025-11-03,2025-11-14,4.139,30.647,2031618977.0,34299678.0,41659294.0,21031184.0,2.042,0.931,0.6,1.055,1,Technology,Software - Infrastructure,1B-10B,3040370965.0,117.98,91.73
2025-11,MDGL,2025-11-04,2025-11-17,4.068,34.211,10251468096.0,139401323.0,216937662.0,21031184.0,2.287,0.997,0.8,0.299,1,Healthcare,Biotechnology,10B-100B,11459354057.0,107.07,60.07
2025-10,TMQ,2025-10-06,2025-10-17,9.335,210.577,366890377.0,88666793.0,219355988.0,21031184.0,3.839,0.572,0.5,1.001,2,Basic Materials,Industrial Materials,300M-1B,839108134.0,41.72,61.88
2025-10,NKLR,2025-10-06,2025-10-17,9.031,28.53,1361371235.0,41138400.0,67945907.0,21031184.0,0.879,0.602,0.6,0.759,1,Energy,Regulated Electric,1B-10B,669635526.0,9.4,57.04
2025-10,PRAX,2025-10-16,2025-10-29,9.01,241.343,4536154961.0,91639915.0,167380029.0,21031184.0,4.309,0.951,0.5,0.849,1,Healthcare,Biotechnology,1B-10B,9250455274.0,117.55,86.21
2025-10,INBX,2025-10-24,2025-11-06,7.911,185.578,836851479.0,23340749.0,45276880.0,21031184.0,4.194,0.935,0.8,0.67,2,Healthcare,Biotechnology,300M-1B,1863597690.0,82.25,57.05
2025-10,GTX,2025-10-23,2025-11-05,7.287,39.568,2794724411.0,45367014.0,89628124.0,21031184.0,1.447,0.989,0.7,0.53,4,Consumer Cyclical,Auto - Parts,1B-10B,5454673096.0,98.53,98.87
2025-10,FLS,2025-10-21,2025-11-03,6.885,40.25,6662579805.0,62743668.0,161783992.0,21031184.0,1.554,0.997,0.6,0.797,10,Industrials,Industrial - Machinery,1B-10B,9044902605.0,105.79,99.29
2025-10,CRML,2025-10-01,2025-10-14,6.67,381.833,865510357.0,40719288.0,473167280.0,21031184.0,7.455,0.932,0.8,0.28,2,Basic Materials,Industrial Materials,300M-1B,1475884375.0,15.97,46.4
2025-10,UAMY,2025-10-01,2025-10-14,5.631,181.774,1079947095.0,62116111.0,193074365.0,21031184.0,5.818,0.886,0.9,0.303,2,Basic Materials,Industrial Materials,1B-10B,1523369081.0,60.15,87.92
2025-10,VIAV,2025-10-21,2025-11-03,5.469,33.283,3117991817.0,28822878.0,64746362.0,21031184.0,1.661,0.975,0.7,0.701,8,Technology,Communication Equipment,1B-10B,12848558928.0,97.39,93.84
2025-10,VICR,2025-10-21,2025-11-03,4.88,60.837,2999256372.0,28288182.0,43164232.0,21031184.0,3.079,0.967,0.6,0.557,2,Technology,"Hardware, Equipment & Parts",1B-10B,14265156141.0,63.57,74.94
2025-10,GMED,2025-10-31,2025-11-13,4.783,38.323,8155984360.0,69910474.0,156507211.0,21031184.0,2.145,0.964,0.5,0.946,10,Healthcare,Medical - Devices,1B-10B,10356033793.0,102.01,98.58
2025-10,DYN,2025-10-14,2025-10-27,4.739,72.274,2552641328.0,23587350.0,34378191.0,21031184.0,3.63,0.969,0.6,0.634,1,Healthcare,Biotechnology,1B-10B,3049952033.0,104.05,99.75
2025-10,LAES,2025-10-01,2025-10-14,4.704,104.545,918789303.0,64260682.0,237634208.0,21031184.0,4.811,0.959,0.8,0.467,2,Technology,Semiconductors,300M-1B,704635405.0,11.55,77.0
2025-10,AMD,2025-10-02,2025-10-15,4.624,45.479,276761838936.0,7031268536.0,23220630082.0,21031184.0,2.564,0.994,0.7,0.568,1,Technology,Semiconductors,100B+,748103246835.0,74.12,99.47
2025-10,ISRG,2025-10-13,2025-10-24,4.509,27.217,154319374219.0,811869129.0,1228490838.0,21031184.0,1.688,0.989,0.7,0.54,2,Healthcare,Medical - Instruments & Supplies,100B+,148769642518.0,91.52,98.03
2025-10,ASTS,2025-10-01,2025-10-14,4.428,92.543,22096656105.0,1131734499.0,1462922312.0,21031184.0,4.679,0.953,0.9,0.229,2,Technology,Communication Equipment,10B-100B,32035106453.0,48.63,89.03
2025-10,APGE,2025-10-08,2025-10-21,4.389,40.624,3559056560.0,29461424.0,54429265.0,21031184.0,2.456,0.969,0.6,0.508,1,Healthcare,Biotechnology,1B-10B,6373754973.0,109.25,96.09
2025-10,CAH,2025-10-29,2025-11-11,4.194,25.812,38519835909.0,402716879.0,511282673.0,21031184.0,1.731,0.987,0.8,0.625,3,Healthcare,Medical - Distribution,10B-100B,42742567358.0,90.2,99.8
2025-10,KEEL,2025-10-02,2025-10-15,4.123,131.071,1657282551.0,172638241.0,465092919.0,21031184.0,6.424,0.98,1.0,0.298,1,Technology,Information Technology Services,1B-10B,2432189354.0,50.09,95.42
2025-10,NVTS,2025-10-02,2025-10-15,4.095,107.671,1916448035.0,266636194.0,668570234.0,21031184.0,5.644,0.982,0.7,0.317,1,Technology,Semiconductors,1B-10B,5293603415.0,51.88,88.92
2025-09,QURE,2025-09-24,2025-10-07,13.467,324.012,2970146840.0,118924450.0,288963432.0,21031184.0,3.392,0.954,0.6,0.863,1,Healthcare,Biotechnology,1B-10B,1728312814.0,86.44,82.21
2025-09,MLYS,2025-09-02,2025-09-15,8.243,133.915,2380895248.0,47053930.0,78325571.0,21031184.0,3.26,0.924,0.7,0.733,1,Healthcare,Biotechnology,1B-10B,2452668598.0,106.92,70.23
2025-09,LAC,2025-09-24,2025-10-07,7.654,169.381,2096416712.0,279450878.0,702390738.0,21031184.0,4.094,0.872,0.4,0.678,2,Basic Materials,Industrial Materials,1B-10B,2019676001.0,32.63,95.36
2025-09,ORBS,2025-09-08,2025-09-19,6.884,782.069,16939949309.0,30110435.0,142873767.0,21031184.0,10.001,0.154,0.4,1.579,1,Consumer Cyclical,Packaging & Containers,10B-100B,338423197.0,24.49,69.2
2025-09,SNDK,2025-09-03,2025-09-16,6.192,79.264,7850238401.0,89570997.0,530982958.0,21031184.0,2.981,0.983,1.0,0.282,10,Technology,"Hardware, Equipment & Parts",1B-10B,229177795511.0,81.68,98.59
2025-09,KEEL,2025-09-05,2025-09-18,5.899,156.0,729656785.0,21607424.0,278827381.0,21031184.0,5.039,0.889,0.9,0.231,5,Technology,Information Technology Services,300M-1B,2432189354.0,50.09,95.42
2025-09,CIEN,2025-09-03,2025-09-16,5.67,46.896,13407398039.0,260526064.0,446868554.0,21031184.0,2.145,0.994,0.8,0.545,3,Technology,Communication Equipment,10B-100B,82218938383.0,97.8,99.52
2025-09,WBD,2025-09-02,2025-09-15,5.565,67.182,29132929328.0,531154692.0,776485280.0,21031184.0,2.92,0.993,0.7,0.495,9,Communication Services,Entertainment,10B-100B,68294405757.0,77.46,94.98
2025-09,UAMY,2025-09-30,2025-10-13,5.255,161.502,886843972.0,40226425.0,157366693.0,21031184.0,5.785,0.968,0.8,0.326,2,Basic Materials,Industrial Materials,300M-1B,1523369081.0,60.15,87.92
2025-09,PATH,2025-09-26,2025-10-09,5.184,52.471,6397089681.0,141609162.0,482459307.0,21031184.0,2.573,0.988,0.8,0.409,2,Technology,Software - Infrastructure,1B-10B,5585010319.0,83.38,90.43
2025-09,IONS,2025-09-02,2025-09-15,5.181,43.293,9500944344.0,92939751.0,182522829.0,21031184.0,2.196,0.944,0.5,0.831,9,Healthcare,Biotechnology,1B-10B,12457491471.0,107.19,99.21
2025-09,IMSR,2025-09-23,2025-10-06,5.089,28.192,1298617499.0,22418312.0,32445946.0,21031184.0,1.543,0.951,0.7,0.499,1,Energy,Regulated Electric,1B-10B,630380865.0,25.28,72.21
2025-09,PL,2025-09-08,2025-09-19,4.718,70.138,3343799500.0,77337975.0,194981744.0,21031184.0,3.562,0.974,0.7,0.737,3,Industrials,Aerospace & Defense,1B-10B,14482874851.0,82.23,88.57
2025-09,HIVE,2025-09-26,2025-10-09,4.578,94.413,894058760.0,98673386.0,262913382.0,21031184.0,4.593,0.996,0.9,0.338,2,Financial Services,Information Technology Services,300M-1B,764521837.0,38.44,98.88
2025-09,AMD,2025-09-25,2025-10-08,4.539,46.42,262966957905.0,4800201062.0,6787240144.0,21031184.0,2.656,0.999,0.8,0.558,2,Technology,Semiconductors,100B+,748103246835.0,74.12,99.47
2025-09,IONQ,2025-09-09,2025-09-22,4.313,75.421,16423877391.0,632899800.0,2308126542.0,21031184.0,4.121,0.983,0.9,0.297,3,Technology,Computer Hardware,10B-100B,21235326926.0,56.38,99.26
2025-09,OKLO,2025-09-09,2025-09-22,4.257,98.388,12838883525.0,799029625.0,1764939244.0,21031184.0,5.089,0.982,0.8,0.37,2,Utilities,Regulated Electric,10B-100B,13560929699.0,55.31,84.21
2025-09,ASTS,2025-09-30,2025-10-13,4.169,85.299,19046432765.0,371811920.0,1279729138.0,21031184.0,4.679,0.983,0.9,0.243,2,Technology,Communication Equipment,10B-100B,32035106453.0,48.63,89.03
2025-08,RIGL,2025-08-05,2025-08-18,6.385,76.753,448490457.0,24928564.0,39572555.0,21031184.0,2.821,0.971,1.0,0.363,2,Healthcare,Biotechnology,300M-1B,484754537.0,93.7,86.13
